pathway	compound
hsa00290	C04272
hsa00290	C04411
hsa00290	C06006
hsa00290	C06007
hsa00290	C06010
hsa00290	C06032
hsa00290	C14463
hsa00310	C00024
hsa00310	C00026
hsa00310	C00037
hsa00310	C00042
hsa00310	C00047
hsa00310	C00136
hsa00310	C00164
hsa00310	C00322
hsa00310	C00332
hsa00310	C00408
hsa00310	C00431
hsa00310	C00449
hsa00310	C00450
hsa00310	C00487
hsa00310	C00489
hsa00310	C00527
hsa00310	C00739
hsa00310	C00877
hsa00310	C00956
hsa00310	C00990
hsa00310	C01028
hsa00310	C01142
hsa00310	C01144
hsa00310	C01149
hsa00310	C01181
hsa00310	C01186
hsa00310	C01211
hsa00310	C01259
hsa00310	C01672
hsa00310	C02188
hsa00310	C02727
hsa00310	C03087
hsa00310	C03196
hsa00310	C03239
hsa00310	C03273
hsa00310	C03366
hsa00310	C03656
hsa00310	C03793
hsa00310	C03955
hsa00310	C04020
hsa00310	C04076
hsa00310	C04092
hsa00310	C04487
hsa00310	C05161
hsa00310	C05231
hsa00310	C05544
hsa00310	C05545
hsa00310	C05546
hsa00310	C05548
hsa00310	C05554
hsa00310	C05825
hsa00310	C12455
hsa00310	C16741
hsa00310	C20333
hsa00330	C00012
hsa00330	C00019
hsa00330	C00022
hsa00330	C00025
hsa00330	C00048
hsa00330	C00062
hsa00330	C00077
hsa00330	C00086
hsa00330	C00134
hsa00330	C00148
hsa00330	C00179
hsa00330	C00213
hsa00330	C00223
hsa00330	C00300
hsa00330	C00315
hsa00330	C00334
hsa00330	C00406
hsa00330	C00431
hsa00330	C00433
hsa00330	C00436
hsa00330	C00441
hsa00330	C00533
hsa00330	C00555
hsa00330	C00581
hsa00330	C00750
hsa00330	C00763
hsa00330	C00791
hsa00330	C00884
hsa00330	C00986
hsa00330	C01035
hsa00330	C01043
hsa00330	C01110
hsa00330	C01137
hsa00330	C01157
hsa00330	C01165
hsa00330	C01250
hsa00330	C01682
hsa00330	C01877
hsa00330	C02305
hsa00330	C02565
hsa00330	C02647
hsa00330	C02714
hsa00330	C02946
hsa00330	C03078
hsa00330	C03166
hsa00330	C03287
hsa00330	C03296
hsa00330	C03375
hsa00330	C03415
hsa00330	C03440
hsa00330	C03564
hsa00330	C03771
hsa00330	C03912
hsa00330	C04137
hsa00330	C04281
hsa00330	C04282
hsa00330	C04498
hsa00330	C05147
hsa00330	C05931
hsa00330	C05932
hsa00330	C05933
hsa00330	C05936
hsa00330	C05938
hsa00330	C05939
hsa00330	C05941
hsa00330	C05942
hsa00330	C05945
hsa00330	C05946
hsa00330	C05947
hsa00330	C10497
hsa00330	C15699
hsa00330	C15700
hsa00330	C15767
hsa00330	C18172
hsa00330	C18174
hsa00330	C18325
hsa00330	C18326
hsa00330	C19706
hsa00340	C00025
hsa00340	C00026
hsa00340	C00049
hsa00340	C00119
hsa00340	C00135
hsa00340	C00386
hsa00340	C00388
hsa00340	C00439
hsa00340	C00785
hsa00340	C00860
hsa00340	C01044
hsa00340	C01045
hsa00340	C01100
hsa00340	C01152
hsa00340	C01262
hsa00340	C01267
hsa00340	C01929
hsa00340	C02739
hsa00340	C02741
hsa00340	C02835
hsa00340	C03277
hsa00340	C03409
hsa00340	C03680
hsa00340	C04437
hsa00340	C04666
hsa00340	C04677
hsa00340	C04896
hsa00340	C04916
hsa00340	C05127
hsa00340	C05130
hsa00340	C05131
hsa00340	C05133
hsa00340	C05135
hsa00340	C05565
hsa00340	C05568
hsa00340	C05570
hsa00340	C05571
hsa00340	C05572
hsa00340	C05575
hsa00340	C05827
hsa00340	C05828
hsa00340	C05829
hsa00340	C16673
hsa00340	C16674
hsa00340	C20522
hsa00340	C20994
hsa00340	C20995
hsa00350	C00022
hsa00350	C00042
hsa00350	C00082
hsa00350	C00122
hsa00350	C00146
hsa00350	C00164
hsa00350	C00232
hsa00350	C00355
hsa00350	C00483
hsa00350	C00530
hsa00350	C00544
hsa00350	C00547
hsa00350	C00628
hsa00350	C00642
hsa00350	C00788
hsa00350	C00811
hsa00350	C00822
hsa00350	C01036
hsa00350	C01060
hsa00350	C01061
hsa00350	C01161
hsa00350	C01179
hsa00350	C01384
hsa00350	C01693
hsa00350	C01829
hsa00350	C01850
hsa00350	C02167
hsa00350	C02442
hsa00350	C02465
hsa00350	C02514
hsa00350	C02515
hsa00350	C03063
hsa00350	C03077
hsa00350	C03758
hsa00350	C03765
hsa00350	C03964
hsa00350	C04043
hsa00350	C04045
hsa00350	C04052
hsa00350	C04185
hsa00350	C04186
hsa00350	C04368
hsa00350	C04642
hsa00350	C04796
hsa00350	C04797
hsa00350	C05338
hsa00350	C05350
hsa00350	C05576
hsa00350	C05577
hsa00350	C05578
hsa00350	C05579
hsa00350	C05580
hsa00350	C05581
hsa00350	C05582
hsa00350	C05583
hsa00350	C05584
hsa00350	C05585
hsa00350	C05587
hsa00350	C05588
hsa00350	C05589
hsa00350	C05593
hsa00350	C05594
hsa00350	C05595
hsa00350	C05596
hsa00350	C05600
hsa00350	C05604
hsa00350	C06044
hsa00350	C06046
hsa00350	C06047
hsa00350	C06048
hsa00350	C06199
hsa00350	C06201
hsa00350	C10447
hsa00350	C17935
hsa00350	C17936
hsa00350	C17937
hsa00350	C17938
hsa00350	C22038
hsa00360	C00022
hsa00360	C00024
