pathway	compound
hsa05217	C00187
hsa05218	C05981
hsa05220	C05981
hsa05221	C05981
hsa05222	C00777
hsa05222	C05981
hsa05223	C00076
hsa05223	C00165
hsa05223	C00777
hsa05223	C01245
hsa05223	C05981
hsa05224	C00410
hsa05224	C00951
hsa05224	C05981
hsa05225	C00027
hsa05225	C00039
hsa05225	C00076
hsa05225	C00165
hsa05225	C00533
hsa05225	C00704
hsa05225	C01245
hsa05225	C01471
hsa05225	C05981
hsa05225	C06793
hsa05225	C06800
hsa05225	C16844
hsa05225	C21641
hsa05225	C21642
hsa05226	C00039
hsa05226	C00777
hsa05226	C05981
hsa05230	C00022
hsa05230	C00024
hsa05230	C00025
hsa05230	C00026
hsa05230	C00031
hsa05230	C00036
hsa05230	C00037
hsa05230	C00041
hsa05230	C00042
hsa05230	C00049
hsa05230	C00062
hsa05230	C00064
hsa05230	C00065
hsa05230	C00074
hsa05230	C00085
hsa05230	C00092
hsa05230	C00097
hsa05230	C00122
hsa05230	C00123
hsa05230	C00148
hsa05230	C00149
hsa05230	C00152
hsa05230	C00158
hsa05230	C00186
hsa05230	C00197
hsa05230	C00311
hsa05230	C00354
hsa05230	C00631
hsa05230	C00665
hsa05230	C00704
hsa05231	C00093
hsa05231	C00114
hsa05231	C00157
hsa05231	C00162
hsa05231	C00165
hsa05231	C00307
hsa05231	C00416
hsa05231	C00588
hsa05231	C00670
hsa05231	C04230
hsa05231	C05981
hsa05235	C00076
hsa05235	C00165
hsa05235	C01245
hsa05235	C05981
hsa05310	C00388
hsa05310	C00696
hsa05310	C02166
hsa05310	C04598
hsa05310	C05951
hsa05320	C01382
hsa05320	C01829
hsa05320	C02465
hsa05322	C00027
hsa05322	C00434
hsa05322	C02737
hsa05323	C00080
hsa05323	C00584
hsa05323	C05443
hsa05330	C00533
hsa05332	C00338
hsa05332	C00533
hsa05410	C00002
hsa05410	C00076
hsa05410	C01330
hsa05412	C00076
hsa05412	C01330
hsa05414	C00076
hsa05414	C00575
hsa05414	C01330
hsa05418	C00076
hsa05418	C00272
hsa05418	C00533
hsa05418	C00704
hsa05418	C00925
hsa05418	C16845
