ID	Name	AG1	AG2	AG3	AG4	AG5	AG6	AG31	AG32	AG33	AG34	AG35	AG36	AG7	AG8	AG9	AG10	AG11	AG12	QCA06	QCA07	QCA08	QCA09	QCA10	QCA11	QCA12	QCA13	QCA14	QCA15	QCA16
ID77	Eupatilin	137.7545185	21.28000897	3.713637653	45.81439978	15.92161083	13.15655136	3.951528468	3.430904773	3.278315636	3.585947892	2.54104657	3.442121109	3.925990309	3.318832418	3.489858282	5.276119302	3.221984274	3.286009078	23.91786561	28.73208283	27.30412233	23.48073066	13.1427184	22.00540105	17.12424355	20.50430563	17.63551096	24.31755218	22.90320236
ID78	Curcumin	38.93920738	194.6321746	94.30755885	25.74852341	48.98047532	81.29713026	72.95384891	44.84003592	51.51120906	54.86716179	59.42081948	62.03354273	70.51781326	78.59827585	60.98891829	300.9420259	57.87002925	66.24748773	60.38662936	48.81813955	63.99838104	50.84128275	38.56879721	59.66921587	74.23165134	59.16094081	54.77071576	47.17969703	42.19222444
ID79	Stigmatellin Y	2891.151333	5272.116656	2152.914251	4430.710696	3861.026568	6950.245302	5807.473105	1932.648497	3143.564664	3687.370915	4983.355688	2188.283268	3684.960853	5991.989752	5631.728043	5471.510842	5619.719579	3928.498577	6033.484624	7044.378093	4374.649129	5824.692188	5031.034358	7066.937027	6953.346322	6455.734487	6069.385667	6891.011616	5408.483944
ID80	Phenol	135.2793807	112.1864913	340.9978933	192.3275499	269.3190471	276.4819289	104.8043397	143.1704554	184.8351411	194.7575029	80.02161113	103.9011319	114.4905648	115.7976446	89.48816105	79.78709421	211.9833807	205.6718098	182.7212273	195.688183	223.4870524	212.1646601	180.1103799	188.213421	215.4533092	253.4500126	189.0191386	193.4701649	166.8621667
ID81	2-Furoic acid	47.11208698	145.1157394	43.06168844	41.67683356	40.87650277	94.69650112	87.28186799	33.43638783	47.10053592	30.16919195	72.03683448	29.90549095	76.520906	89.07085867	70.22418083	75.41638635	44.10622821	47.19204002	51.65200881	57.10115971	42.72794951	45.16352524	35.32300417	36.65106792	109.4621354	48.91534689	50.9056966	44.15908515	53.10456184
ID82	Levulinic acid	200.0220676	85.1899451	181.9568126	168.6495308	98.54217895	49.40364281	125.9909323	151.4132449	183.5515873	131.1412484	187.8464059	277.2615602	205.6517901	120.7665813	223.8252194	142.5415811	177.5274305	194.4751859	180.4462104	145.9373227	195.0366776	194.6707295	166.7756213	154.6024793	156.9467655	177.2222494	132.2942261	163.9652786	144.9817802
ID83	gamma-Aminobutyric acid	495.3823089	767.8171042	868.7567971	399.4727663	424.6039858	699.0197539	371.5386115	346.9745544	349.9981873	443.4045598	587.2703374	532.255761	462.2763844	339.3606922	276.0874331	197.641311	291.5816259	304.1359072	447.9304419	431.0916275	522.8577383	696.1694656	414.0292285	367.1578536	501.0278917	538.9513157	397.4090291	354.9452282	486.7806049
ID84	Proline	141.3210629	236.330422	191.0006332	122.0259941	153.3381896	137.1992435	67.59998918	60.08414109	79.93426978	111.5659991	100.0695338	100.5697003	65.48393002	94.06170795	96.8671398	94.78721084	104.3332957	88.6314395	107.548593	112.6547392	121.3585171	111.1367526	109.4795659	101.2526201	104.7183056	134.8687112	522.2544614	112.2091274	113.4908052
ID85	L-(-)-Threonine	77.87761716	142.7575925	206.2784456	87.64291854	187.1704506	178.0660124	121.68275	142.9490508	103.4754904	136.0155288	146.8281705	120.9714889	59.72924841	75.27907993	63.3315637	87.45365007	75.91449497	85.45367185	108.0517716	111.9598754	117.8657476	94.16435151	124.5689741	112.4656568	117.0674685	130.0971452	206.6745696	109.8905345	112.5233882
ID86	Niacin	36.73132727	77.00090642	104.4731899	22.01096949	82.82850271	166.0494304	57.90074398	49.71199987	54.99899126	38.61156776	69.99785044	43.88330328	17.84819209	18.41050564	17.2328572	19.73188048	17.31341752	26.18332713	43.26577592	34.77355196	46.72876936	36.06132981	32.95817942	40.91514342	39.87798662	37.65671378	56.56403001	28.01112119	43.83202239
