geneid	genesymbol	count
100616187	MIR4783	1
102465688	MIR7150	1
102465688	HSA-MIR-7150	2
100616478	MIR4494	1
106635526	SNORA93	1
100033806	SNORD115-32	1
100033806	HBII-52-32	2
100616334	MIR4790	1
26813	SNORD36C	1
26813	RNU36C	2
26813	U36C	3
100500872	MIR3911	1
100500872	MIR-3911	2
100616300	MIR4710	1
100616300	MIR-4710	2
100169768	RNA5S17	1
100169768	RN5S17	2
102465493	MIR6821	1
102465493	HSA-MIR-6821	2
767598	SNORD114-20	1
767598	14Q(II-20)	2
102465522	MIR6865	1
102465522	HSA-MIR-6865	2
100500865	MIR3936	1
100500865	MIR-3936	2
767577	SNORD114-1	1
767577	14Q(II-1)	2
100616460	MIR3689E	1
692198	SNORD78	1
692198	U78	2
692197	SNORD77	1
692197	SNORD77A	2
692197	U77	3
102466749	MIR6849	1
102466749	HSA-MIR-6849	2
100313806	MIR1255B1	1
100313806	MIR1255B-1	2
100313806	MIRN1255B1	3
693130	MIR548D1	1
693130	MIRN548D1	2
100302204	MIR548I1	1
100302204	MIR548I-1	2
100302204	MIRN548I1	3
100302204	HSA-MIR-548I-1	4
100302204	MIR-548I-1	5
692093	SNORD62B	1
692093	U62	2
692093	U62B	3
102465839	MIR7852	1
102465839	HSA-MIR-7852	2
100616383	MIR4675	1
100616127	MIR4448	1
594838	SNORD100	1
594838	HBII-429	2
100616366	MIR4743	1
9303	SNORD25	1
9303	RNU25	2
9303	U25	3
100500868	MIR3913-2	1
100500868	MIR-3913-2	2
692227	SNORD104	1
692227	U104	2
100846992	MIR548AW	1
109623464	SNORA119	1
100847074	MIR5088	1
100847074	MIR-5088	2
100616268	MIR4472-1	1
100033456	SNORD115-18	1
100033456	HBII-52-18	2
102466732	MIR6774	1
102466732	HSA-MIR-6774	2
100033441	SNORD115-4	1
100033441	HBII-52-4	2
26827	RNU6-1	1
26827	RNU6	2
26827	RNU6A	3
26827	U6	4
26827	U6-1	5
693131	MIR548D2	1
693131	MIRN548D2	2
767595	SNORD114-17	1
767595	14Q(II-17)	2
100616388	MIR4723	1
100616388	MIR-4723	2
100033812	SNORD115-38	1
100033812	HBII-52-38	2
102466251	MIR8061	1
102466251	HSA-MIR-8061	2
109616958	SNORA50D	1
100422936	MIR3153	1
100422936	MIR-3153	2
100616432	MIR4714	1
109617001	SNORA1B	1
100113392	SNORD11B	1
100847035	MIR548AR	1
100422994	MIR4267	1
102466515	MIR1199	1
102466515	HSA-MIR-1199	2
100422976	MIR4256	1
619568	SNORA4	1
619568	ACA4	2
102465431	MIR6722	1
102465431	HSA-MIR-6722	2
102465693	MIR7158	1
102465693	HSA-MIR-7158	2
100422832	MIR3191	1
100422832	MIR-3191	2
109616972	SNORA68B	1
100847085	MIR5706	1
100616429	MIR4672	1
109617007	SNORA63E	1
100847003	MIR5693	1
100423021	MIR4298	1
100033803	SNORD115-29	1
100033803	HBII-52-29	2
100422935	MIR3118-4	1
100616299	MIR4450	1
100616299	MIR-4450	2
102466657	MIR6505	1
102466657	HSA-MIR-6505	2
102466657	MIR-6505	3
100847064	MIR5694	1
767583	SNORD114-7	1
767583	14Q(II-7)	2
102466658	MIR6510	1
102466658	HSA-MIR-6510	2
102466658	MIR-6510	3
100302192	MIR548F1	1
100302192	MIR548F-1	2
100302192	MIRN548F1	3
100302192	HSA-MIR-548F-1	4
100616109	MIR4464	1
100616109	MIR-4464	2
767569	SNORD113-9	1
767569	14Q(I-9)	2
102465869	MIR8067	1
102465869	HSA-MIR-8067	2
109623479	SNORD169	1
102465856	MIR7974	1
102465856	HSA-MIR-7974	2
677793	SNORA2A	1
