geneid	genesymbol	count
CTRG_00432	HYPOTHETICAL PROTEIN	1
CTRG_00433	HYPOTHETICAL PROTEIN	1
CTRG_00434	HYPOTHETICAL PROTEIN	1
CTRG_00435	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00436	PREDICTED PROTEIN	1
CTRG_00437	HYPOTHETICAL PROTEIN	1
CTRG_00438	HYPOTHETICAL PROTEIN	1
CTRG_00439	PREDICTED PROTEIN	1
CTRG_00440	PREDICTED PROTEIN	1
CTRG_00441	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00442	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00443	PREDICTED PROTEIN	1
CTRG_00444	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00445	HYPOTHETICAL PROTEIN	1
CTRG_00446	HYPOTHETICAL PROTEIN	1
CTRG_00447	PREDICTED PROTEIN	1
CTRG_00448	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00449	HISTONE H2A VARIANT	1
CTRG_00450	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00451	PREDICTED PROTEIN	1
CTRG_00452	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00453	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00454	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00455	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00456	HYPOTHETICAL PROTEIN	1
CTRG_00457	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00458	HYPOTHETICAL PROTEIN	1
CTRG_00459	HYPOTHETICAL PROTEIN	1
CTRG_00460	HYPOTHETICAL PROTEIN	1
CTRG_00461	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00463	CONSERVED HYPOTHETICAL PROTEIN	1
